argument,topic,set,WA,MACE-P,stance_WA,stance_WA_conf
"cannabis use is less harmful than alcohol or tobacco, it should be legalized.",We should legalize cannabis,test,0.693592725,0.499720544,1,1
Cannabis use is too often a gateway  to other harder drugs such as cocaine and heroin so should remain illegal.,We should legalize cannabis,test,1,0.74012036,-1,1
cannabis use is widespread around the world. legalizing cannabis use would bring more benefits for the economy,We should legalize cannabis,test,0.929581376,0.846653031,1,1
cannabis use leads to the use of other drugs.,We should legalize cannabis,test,0.900681049,0.950654903,-1,1
cannabis use makes people lazy and lethargic,We should legalize cannabis,test,0.704531808,0.206491266,-1,1
cannabis use may lead to heavier drugs,We should legalize cannabis,test,0.884610509,0.826421265,-1,1
"cannabis will eventually lead to the use of harder drugs like meth, heroin and cocaine which are deadly drugs.",We should legalize cannabis,test,0.804861465,0.681631502,-1,1
cannabis will lead to the use of hard drugs which will increase crime,We should legalize cannabis,test,0.916195995,0.991579146,-1,1
cigarette smoking and alcohol consumption causes more damage to people than cannabis smoking does and they are both legal,We should legalize cannabis,test,0.88717172,0.407853984,1,1
dependence on marijuana will increase with legalization because of its  addictive nature,We should legalize cannabis,test,0.704650013,0.726066325,-1,1
"Despite the propaganda, marijuana is actually more addictive than alcohol, the latter of which can be occasionally.",We should legalize cannabis,test,0.767359003,0.731040647,-1,0.909372838
don't legalize it or we will start getting more accidents due to impairment from cannabis,We should legalize cannabis,test,0.785529765,0.284788849,-1,1
"due to so much controversy and contraband of this substance, it would save many deaths",We should legalize cannabis,test,0.563082511,0.10099106,1,0.687066795
"for people undergoing chemotherapy, cannabis can be extremely helpful in regaining appetite for food",We should legalize cannabis,test,0.973583748,0.950809916,1,1
"For the most part, cannabis is already legal in many states and countries. So it should be a universal legal law.",We should legalize cannabis,test,0.695773589,0.081439232,1,1
"given the now proven medical benefits, the legalisation of cannabis is now inevitable",We should legalize cannabis,test,0.64692582,0.08235173,1,0.90247889
"Growing marijuana harms the environment. Marijuana cultivation results in deforestation, soil erosion, habitat destruction",We should legalize cannabis,test,0.574414189,0.316577087,-1,1
"Growing marijuana harms the environment. Marijuana farming results in deforestation, soil erosion, habitat destruction and landslides.",We should legalize cannabis,test,0.697988549,0.78289846,-1,1
I has been scientifically proven that cannabis is useful in treating pain in MS sufferers. It has also shown great promise in the reduction of seizures in those with sever epilepsy.,We should legalize cannabis,test,0.84710513,0.850016615,1,1
"i think a legalization would be fine, but with some restrictions",We should legalize cannabis,test,0.351418614,0.000362272,1,1
i think it takes up too much valuable police resources chasing recreational cannabis smokers.also many people with health conditions find cannabis beneficial to them.,We should legalize cannabis,test,0.97941946,0.934817987,1,1
i think that we should legalize cannabis beacause is hleathy,We should legalize cannabis,test,0.484664834,0.000187277,1,1
i think that we should legalize cannabis for health,We should legalize cannabis,test,0.263401609,4.49E-05,1,1
i think that we should legalize cannabis in medicinal form,We should legalize cannabis,test,0.371917118,0.000554914,1,1
i think this might get out of hand with our children.,We should legalize cannabis,test,0.382793212,0.000322713,-1,0.899571489
if alcohol is legal why not cannabis ? alcohol is far more dangerous than cannabis,We should legalize cannabis,test,0.799727906,0.290017413,1,1
if cannabis is legal it can be regulated and taxed,We should legalize cannabis,test,0.979746047,0.992780446,1,1
if cannabis was legalized it would make it more accessible to young people and possibly lead to stronger drugs.,We should legalize cannabis,test,1,0.870650719,-1,1
if it should be legalized so that the drug traffic stops would be a good reason to eliminate so many murders of course that has its limit of consumption,We should legalize cannabis,test,0.698884907,0.1443053,1,0.903680403
if people need it for health reasons then it is ok,We should legalize cannabis,test,0.763819011,0.312846159,1,0.908288538
"if there are no third party harms, then an individual should be able to use any substance they so choose.",We should legalize cannabis,test,0.750818144,0.606451404,1,1
if we approve cannabis that will be completely mess and will affect all society badly.,We should legalize cannabis,test,0.428889831,0.026685269,-1,0.897926194
"If you can drink, I can smoke, and you can drink.",We should legalize cannabis,test,0.227374101,0.000181841,1,0.597752291
"If you could find a way to smoke it without the smoke reaching any other person's lungs I'd say legalize marijuana, but there's no way to guarantee that.",We should legalize cannabis,test,0.286950305,0.00140788,-1,0.700302364
if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.,We should legalize cannabis,test,1,0.915920535,-1,1
illegal substances are illegal for a reason. because they have yet to be fully tested so the long-term effects may be studied and determined.,We should legalize cannabis,test,0.725284192,0.69836827,-1,1
in many cases cannabis has wonderful health results such as taking away pain from ill people.  it should be legal for all.,We should legalize cannabis,test,0.898645343,0.955291473,1,1
"in this world, cannabis does less harm than cigarettes because it should not be legalized, it is purer and it does not hurt so much, but everything has its limit, everything in quantity is bad",We should legalize cannabis,test,0.689223692,0.377862754,1,0.768101383
indoor growing of cannabis plants  produces a significant amount of greenhouse gas emissions and places a load on public utilities like water  and electricity,We should legalize cannabis,test,0.741113776,0.389975221,-1,1
"is a herbaceous species of the cannabaceae family, also called marijuana, which occasionally has medicinal use",We should legalize cannabis,test,0.597768227,0.011574411,1,0.692375504
"is proven by scientists that cannabis helps to improve many diseases and has been used for many years, so it must be legal",We should legalize cannabis,test,0.758567022,0.697852501,1,1
it can be very beneficial for people with certain illnesses so should be legal,We should legalize cannabis,test,0.890397089,0.713003983,1,1
it can lead to the use of harder drugs,We should legalize cannabis,test,0.758728917,0.093714565,-1,0.88951424
it creates a subculture of laziness.,We should legalize cannabis,test,0.244279854,0.000235242,-1,1
it does not cause any problems to health,We should legalize cannabis,test,0.34646354,0.005512829,1,1
it has many good uses & could be a good tax revenue generator for the states & federal government,We should legalize cannabis,test,0.880571429,0.911591403,1,1
it has many helpful medicinal qualities such as helping cancer patients keep food down when going through chemotherapy,We should legalize cannabis,test,1,0.768264726,1,1
it has too many bad side effects so should not be legal,We should legalize cannabis,test,0.575327087,0.097876009,-1,0.894478851
it helps so many people and there is no good reason for it to be illegal when alcohol is not.,We should legalize cannabis,test,0.882294408,0.551787217,1,1
it impairs your mind so it should be illegal,We should legalize cannabis,test,0.564873704,0.07003576,-1,1
it is a gateway drug and many people start with it and end up on far worse.,We should legalize cannabis,test,0.550342826,0.070188227,-1,1
it is a gateway drug for teens and leads down a long scary road.,We should legalize cannabis,test,0.757839363,0.462102636,-1,1
it is a gateway drug that can lead to far worse drugs,We should legalize cannabis,test,0.901609383,0.708545006,-1,1
it is a gateway drug to more harmful drugs.,We should legalize cannabis,test,0.899588853,0.99896023,-1,1
"it is a gateway drug, and we don't want to encourage people to go down this dangerous path.",We should legalize cannabis,test,0.76094326,0.65732659,-1,1
"it is a natural, safe, medicinal plant.",We should legalize cannabis,test,0.889091343,0.865791635,1,0.889189392
It is a person's right to choose what he or she puts in his or her body. Outlawing marijuana violates that right.,We should legalize cannabis,test,0.755352033,0.559931683,1,0.80012003
"it is a substance that has been shown to effect the mental wellbeing of certain people, in that regard it shouldn't be legal.",We should legalize cannabis,test,0.927051488,0.824301038,-1,1
it is a waste of police time and resources trying to track down cannabis farms,We should legalize cannabis,test,0.926335682,0.638269588,1,1
it is a waste of the governments time and money prosecuting people for having pot,We should legalize cannabis,test,0.713838684,0.227510326,1,0.904761456
it is almost impossible to police and no more harmful than alcohol so legalising cannabis would free police resources to go after those using or supplying more dangerous drugs.,We should legalize cannabis,test,0.507402266,0.002280848,1,0.912004055
it is already be proven to help with certain diseases and conditions,We should legalize cannabis,test,0.790894815,0.387854687,1,0.898864295
it is an illegal drug and shouldn't be sold to the public,We should legalize cannabis,test,0.554450752,0.125303997,-1,1
it is extremely useful in battling a wide range of medical maladies,We should legalize cannabis,test,0.90187392,0.893042973,1,0.907117
it is necessary to legalize cannabis because used for health,We should legalize cannabis,test,0.440070833,0.004119637,1,1
it send the wrong message to society that drug use is acceptable,We should legalize cannabis,test,0.515971407,0.024309678,-1,1
it should be legal for the people that need it to help them deal with health issues,We should legalize cannabis,test,0.863791348,0.759767465,1,1
it should be legal to help the pain sick people have to endure,We should legalize cannabis,test,0.736734091,0.25206993,1,1
it should not be legal because it impairs your thinking,We should legalize cannabis,test,0.724310373,0.216664738,-1,1
"it will encourage the younger generation to start taking the drug, there will be more cases of people driving under the influence which is a danger to others resulting in serious injury or even death",We should legalize cannabis,test,0.866131302,0.974966708,-1,1
"it will stop people from buying the drug from the streets, it will also mean that regulations are put in place to ensure the quality of the drug is safe to use, it will also increase tax revenue.",We should legalize cannabis,test,1,0.691829532,1,1
It would be hard to regulate as many people grow their own.,We should legalize cannabis,test,0.478069358,0.009054466,-1,0.709696682
it would lead to more crimes and trouble,We should legalize cannabis,test,0.527252664,0.078078044,-1,1
it would stop people being locked up for possession and it would generate revenue,We should legalize cannabis,test,0.773668772,0.353602416,1,1
it`s been proven that cannabis has some relief who helping people suffering from terminal illness.,We should legalize cannabis,test,0.981380776,0.998159734,1,1
laboratory testing and regulations of legalized marijuana will ensure that it is safe for use and free of harmful substances,We should legalize cannabis,test,0.730135869,0.786562683,1,1
law enforcement are unable to effectively prevent the large scale distribution of cannabis and it's using up too many resources so they should just legalize and regulate it instead.,We should legalize cannabis,test,0.955258418,0.824933138,1,1
legal domestic production of legalized marijuana is taking money away from drug cartels,We should legalize cannabis,test,0.642217126,0.508916176,1,0.801995375
legal marijuana can add millions of dollars in federal taxes paid by cannabis businesses,We should legalize cannabis,test,0.730981591,0.569665835,1,1
legal marijuana could actually improve opportunities for the black market because cartels can easily undermine licensed sellers prices and the black market will thrive,We should legalize cannabis,test,0.517666223,0.151082077,-1,0.793726897
legalising cannabis could normalise it and encourage more children to partake,We should legalize cannabis,test,0.873389809,0.620186506,-1,1
legalising cannabis would take the trade out of the hands of criminal gangs,We should legalize cannabis,test,0.963060941,0.810971042,1,1
legalization of marijuana will create a huge industry that utilizes people for profit and targets children,We should legalize cannabis,test,0.661317999,0.647334942,-1,1
legalization will allow the government to set age restrictions on consumers,We should legalize cannabis,test,0.808714439,0.443040516,1,1
Legalize its use only in special smoking rooms so nobody else has to breathe it.,We should legalize cannabis,test,0.498350995,0.006327732,1,1
legalized cannabis can be more closely regulated and taxed. it makes it safer than illegal weed and helps provide tax dollars.,We should legalize cannabis,test,0.9155921,0.845402198,1,1
legalized marijuana use will  lower street crime by paralyzing the criminal market where violence actually occurs,We should legalize cannabis,test,1,0.981839771,1,1
legalizing and regulating cannabis will makes its use less risky,We should legalize cannabis,test,0.860656493,0.568504421,1,0.904705019
legalizing and taxing cannabis would bring in billions of dollars  to fund the government.,We should legalize cannabis,test,1,0.977627308,1,1
legalizing cannabis allows for younger children to try drugs,We should legalize cannabis,test,0.681755068,0.097320003,-1,1
legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases,We should legalize cannabis,test,1,0.999771646,1,1
legalizing cannabis can be for health as long as the doses are given .. since the person can suffer mental damage,We should legalize cannabis,test,0.481558102,0.007441405,1,0.90008111
"legalizing cannabis can increase the number of drug addicts, therefore we shall not",We should legalize cannabis,test,0.737701828,0.147907497,-1,0.925757281
legalizing cannabis could encourage more young people to take it up.,We should legalize cannabis,test,0.631733813,0.28213149,-1,0.893737964
legalizing cannabis is dangerous to society as users may overdose.,We should legalize cannabis,test,0.5547312,0.117489536,-1,1
legalizing cannabis is the next logic step in stopping the propaganda that weed is bad.,We should legalize cannabis,test,0.73040608,0.096489886,1,1
legalizing cannabis is the wrong move.  it makes all other illegal drugs seem safer and we can't allow something like that to happen.,We should legalize cannabis,test,0.757738372,0.752475759,-1,1
legalizing cannabis may cause fewer people to drink and smoke cigarettes which will lead to a healthier society,We should legalize cannabis,test,1,0.762886935,1,1
"legalizing cannabis opens the door to many more potentially dangerous drugs being legalized, we must make sure that the only legalized use of any drug is controlled by the medical profession.",We should legalize cannabis,test,0.868821625,0.978700486,-1,1
legalizing cannabis should occur because it is a natural plant that grows in the earth.,We should legalize cannabis,test,0.85673696,0.21165388,1,1
"legalizing cannabis will allow police officers to spend more time attending more serious crimes, rather than filling out paperwork for someone that has a small amount of cannabis on them",We should legalize cannabis,test,0.980019023,0.935818551,1,1
legalizing cannabis will get rid of a black market that fuels other crimes,We should legalize cannabis,test,1,0.942556155,1,1
legalizing cannabis will help to control prison overcrowding,We should legalize cannabis,test,0.860096803,0.594613027,1,1
Legalizing cannabis will increase recreational use which could lead to more car accidents caused by people driving while under the influence.,We should legalize cannabis,test,0.846702233,0.997808768,-1,1
legalizing cannabis will just lead many people to experiment with other more dangerous drugs,We should legalize cannabis,test,0.850448901,0.820514124,-1,1
Legalizing cannabis will just open the door to the legalization of more dangerous drugs.,We should legalize cannabis,test,0.914311593,0.952793553,-1,1
legalizing cannabis will just pave the way for other drugs to be legalized and it should not be allowed.,We should legalize cannabis,test,0.941382795,0.998804609,-1,0.898913851
legalizing cannabis will lead us down a slippery slope into legalizing other harmful substances,We should legalize cannabis,test,1,0.928958988,-1,0.886470899
legalizing cannabis will make it easier for those who need it for medical reasons to acquire it.,We should legalize cannabis,test,1,0.95439062,1,1
Legalizing cannabis will make it easier for those who need it for medical reasons to obtain it.,We should legalize cannabis,test,0.822799003,0.755320973,1,1
legalizing cannabis will make it easier for young people to acquire it which can lead them to more dangerous things.,We should legalize cannabis,test,1,0.836473592,-1,1
Legalizing cannabis will make it more easily accessible to those who need it for medical reasons.,We should legalize cannabis,test,1,0.96391567,1,1
Legalizing cannabis would allow the authorities to control the quality and strength of the product making it safer to use and could also collect tax from the sale.,We should legalize cannabis,test,0.883004193,0.802174935,1,1
"legalizing cannabis would be a mistake in that it would justify the drug culture and cause more people to be out there in an impaired fashion, which can be dangerous to others as well as themselves.",We should legalize cannabis,test,0.745066767,0.278338938,-1,0.902071862
legalizing cannabis would cause overdose problems and possible death,We should legalize cannabis,test,0.66965921,0.394167647,-1,1
Legalizing cannabis would eliminate the criminal components and violence which the present system encourages.,We should legalize cannabis,test,0.934919458,0.99403102,1,1
legalizing cannabis would increase its usage and lead to many people becoming addicts,We should legalize cannabis,test,0.905331746,0.731450383,-1,1
legalizing cannabis would lead to more  drugs as a gateway.,We should legalize cannabis,test,0.641553787,0.042322245,-1,0.927333457
legalizing cannabis would lead to more car accidents with people driving under the influence,We should legalize cannabis,test,0.722065135,0.330848311,-1,1
legalizing cannabis would lower incarceration rates and bring in a lot of revenue,We should legalize cannabis,test,0.821632225,0.699958458,1,1
legalizing cannabis would make it less profitable for criminals,We should legalize cannabis,test,0.701448253,0.378689436,1,1
legalizing cannabis would regulate the industry and ensure that product quality was high and that indiscriminate products haven't been added to produce a profit for someone,We should legalize cannabis,test,0.899417949,0.932131562,1,0.907830499
legalizing cannabis would save us money we waste on law enforcement and imprisonment for this nonviolent offense.,We should legalize cannabis,test,1,0.924850867,1,1
legalizing is dangerous for our nation's youth. it if were legal it would be easier to access by younger citizens. this opens up addiction problems at a younger age and exposure to even harder drugs.,We should legalize cannabis,test,0.902009989,0.997682684,-1,1
Legalizing it would eliminate the black market for cannabis and will also free up prisons of people who are arrested and sentenced for cannabis possession.,We should legalize cannabis,test,0.631896704,0.27493949,1,1
Legalizing marijuana boosts the economy and increases tax revenue.,We should legalize cannabis,test,0.842264966,0.91926431,1,1
legalizing marijuana could create thousands of jobs  in the actual marijuana business and in related fields,We should legalize cannabis,test,1,0.954880439,1,1
legalizing marijuana is especially dangerous for young because teen marijuana use is higher in every state where it is legal,We should legalize cannabis,test,0.496091559,0.039797748,-1,1
legalizing marijuana leads to more marijuana-related medical emergencies cases and unintentional cannabis overdose injuries among children,We should legalize cannabis,test,0.648828564,0.474218925,-1,1
legalizing marijuana will free up police resources because instead of arresting people for pot police would focus on more serious crimes,We should legalize cannabis,test,1,0.965989088,1,1
Legalizing marijuana would benefit the black market / drug cartels since the prices charged by state-licensed sellers can easily be undercut by cartels.,We should legalize cannabis,test,0.657154618,0.619839715,-1,0.905458605
Legalizing marijuana would create thousands of jobs and reduce unemployment.,We should legalize cannabis,test,0.696795335,0.336653254,1,1
Legalizing marijuana would dismantle the black market and put drug dealers out of business.,We should legalize cannabis,test,0.913312248,0.858301315,1,0.900853972
Legalizing marijuana would end the costly enforcement of marijuana laws and free up police resources which could focus on more serious crimes.,We should legalize cannabis,test,1,0.994006839,1,1
legalizing marijuana would help correct the racial inequalities in marijuana enforcement,We should legalize cannabis,test,0.746403564,0.782372683,1,1
"Legalizing marijuana would increase its use by teens. Marijuana is especially dangerous for young people, because their brains are not fully developed.",We should legalize cannabis,test,0.872910472,0.971714794,-1,1
Legalizing marijuana would lead to a reduction in gang-related drug violence.,We should legalize cannabis,test,0.906803129,0.921330529,1,0.913605474
Legalizing marijuana would lead to an increased incidence of marijuana addiction.,We should legalize cannabis,test,0.777045359,0.718543586,-1,1
legalizing marijuana would put one more harmful substance in our society,We should legalize cannabis,test,0.753374836,0.936192648,-1,1
"legalizing recreational marijuana will add billions to the economy, create hundreds of thousands of jobs, and save limited police resources",We should legalize cannabis,test,1,0.99201878,1,1
legalizing will make marijuana use safer by regulations,We should legalize cannabis,test,0.795243176,0.855254662,1,1
Long-term use of marijuana can be harmful to a person's health and well-being.,We should legalize cannabis,test,0.743202988,0.862497209,-1,1
major public health organizations oppose legalizing marijuana for recreational use,We should legalize cannabis,test,0.780699231,0.959850565,-1,0.893172258
making cannabis legal may lead to public safety concerns as people may start using it while driving or working and cause accidents and/or deaths,We should legalize cannabis,test,0.867300322,0.816801373,-1,1
"making it legal says it's ok, it's a drug that can have bad side effects.",We should legalize cannabis,test,0.630709528,0.021080015,-1,0.890153372
making it legal would just lead to worse drug usage,We should legalize cannabis,test,0.637830858,0.445371714,-1,1
many people misuse drugs and until we know that there are no harmful side effects it is better to prevent it's use,We should legalize cannabis,test,0.634296263,0.085252971,-1,0.907148967
many people use cannabis to deal with severe illness. it is also a natural product.,We should legalize cannabis,test,0.870837222,0.947504743,1,1
marijuana convictions disproportionately impact people of color and their ability to get any kind of aid,We should legalize cannabis,test,0.493945489,0.006081486,1,0.707003395
marijuana harms the brain and any amount of cannabis use may increase the risk of developing mental health problems,We should legalize cannabis,test,0.946893981,0.98207368,-1,1
marijuana has numerous proven medical benefits.,We should legalize cannabis,test,1,0.933764234,1,1
"Marijuana has proven medical benefits for patients suffering from diseases such as cancer, AIDS, and glaucoma.",We should legalize cannabis,test,1,0.981839771,1,1
marijuana is damaging mentally and physically,We should legalize cannabis,test,0.714014498,0.33428042,-1,1
marijuana is less harmful than alcohol and tobacco yet they are legal,We should legalize cannabis,test,0.677796192,0.464798723,1,1
"Marijuana is no more harmful to a person's health than alcohol or tobacco, which are both legal. Therefore, marijuana should also be legal.",We should legalize cannabis,test,0.902932162,0.939629856,1,1
"Marijuana is part of drug culture so using it leads to other, much more dangerous drug use.",We should legalize cannabis,test,0.747508064,0.939865362,-1,1
"Marijuana is repulsive to some but so is alcohol, so if you are to keep one legal you must make the other legal.",We should legalize cannabis,test,0.481633624,0.021796108,1,0.801767938
marijuana legalization will boost the economy bringing more tax revenue than alcohol,We should legalize cannabis,test,0.876128166,0.920931092,1,1
marijuana prohibition is racist because people of color are disproportionately arrested for its use or possession,We should legalize cannabis,test,0.727250005,0.18244141,1,0.899445752
"Marijuana use can lead to the use of harder, more harmful drugs such as heroin and cocaine.",We should legalize cannabis,test,0.9462377,0.988462945,-1,1
marijuana use harms cognitive function -- especially long-term memory -- and is particularly dangerous to the brain development of children and teens.,We should legalize cannabis,test,1,0.96783319,-1,1
marijuana use harms more than just the person using the drug and societal costs of marijuana would outweigh its tax revenues,We should legalize cannabis,test,0.860973984,0.921423433,-1,1
Marijuana-related traffic accidents and deaths  would increase if marijuana was legalized.,We should legalize cannabis,test,0.746854464,0.892323774,-1,1
"millions of people have used marijuana, despite it being an illegal drug under the law",We should legalize cannabis,test,0.52772019,0.009629363,1,0.702325794
"more industrial accidents, more injuries, and truancy rates as a result of  marijuana use will hurt businesses by causing loss of productivity",We should legalize cannabis,test,0.775171884,0.774874783,-1,1
more people would use cannabis for recreational if it were legal and that would lead to more mental health issues in the wider population than we currently have.,We should legalize cannabis,test,0.937482103,0.889967122,-1,0.898321595
no drug is safe and all must be illegal,We should legalize cannabis,test,0.20624328,8.52E-05,-1,0.908087537
our tax dollars are wasted on criminalizing the possession and use of cannabis when they could spent on more serious crimes.,We should legalize cannabis,test,0.839549844,0.620947538,1,1
"people buy cannabis regardless of whether it is legal or not, so we might as well tax it to make extra money",We should legalize cannabis,test,0.901084128,0.562291137,1,1
people die from drowning  or are killed in car accidents but the government wouldn't arrest people for going to swimming pools or outlaw driving,We should legalize cannabis,test,0.43690334,0.003088189,1,0.798849051
people have the right to be free and cannabis is a safe drug to be used as recreational,We should legalize cannabis,test,0.730848293,0.094553964,1,1
people have the right to live their lives in any way they choose and the government doesn't have the right to tell adults what they can put in their own bodies,We should legalize cannabis,test,0.74784593,0.470098624,1,0.905506805
people should be able to decide themselves if they want to use it,We should legalize cannabis,test,0.750993303,0.186619262,1,1
people should be allowed to decide whether to use cannabis themselves.,We should legalize cannabis,test,0.602754536,0.164635473,1,0.80276816
people use it anyway and it has many health benefits.,We should legalize cannabis,test,0.886712027,0.77518473,1,1
people's life are getting destroyed by cannabis. cannabis is a drug which creates dependence and lose of self control,We should legalize cannabis,test,0.622743776,0.038742501,-1,1
"Rather than making smoking marijuana legal, make drinking booze illegal.",We should legalize cannabis,test,0.188297979,8.93E-05,-1,0.896574896
recreational weed will increase dui incidents,We should legalize cannabis,test,0.915736728,0.975270796,-1,0.897106141
research shows that smoking one joint is as damaging to the lungs as five tobacco cigarettes because marijuana may contain five times as much carbon monoxide concentration and three times as much resin as tobacco,We should legalize cannabis,test,0.948897218,0.988278843,-1,1
researchers found that using marijuana just once a week can impact the parts of the brain that are linked to motivation,We should legalize cannabis,test,0.916989296,0.965050974,-1,0.69992595
richard nixon scheduled cannabis along with harder drugs in order to disenfranchise voters who would oppose him.  cannabis has equivalent harms to alcohol.  therefore it should be legalized and regulated.,We should legalize cannabis,test,0.648805432,0.162362707,1,1
sale of cannabis should not be legalized because it is a dangerous drug and as such is a public health concern,We should legalize cannabis,test,0.921488357,0.959618552,-1,1
sale of cannabis should not be legalized because it is a dangerous drug with known risks and adverse effects,We should legalize cannabis,test,0.87784157,0.983375361,-1,1
scientific studies have shown that cannabis is safe as a recreational drug,We should legalize cannabis,test,1,0.982600651,1,1
scientific verdict is that marijuana is an addictive and dangerous drug,We should legalize cannabis,test,0.863478524,0.942596447,-1,1
Second-hand smoke from marijuana can be harmful to others.,We should legalize cannabis,test,0.843997047,0.882054691,-1,1
"second-hand smoke is still a concern, whether it is tobacco or cannabis.",We should legalize cannabis,test,0.360231634,0.007096144,-1,0.710106518
"Smoke, unlike liquids, goes not only into the user but everywhere, therefore marijuana can be legalized but must be limited to medical use in controlled environments.",We should legalize cannabis,test,0.36492461,0.001539458,1,0.809154904
smoking cannabis at a young age can disrupt the natural growth of the brain,We should legalize cannabis,test,1,0.947257977,-1,1
smoking cannabis causes unknown brain damage and can have effects lasting years after the last time it was smoked. people using cannabis are more likely to have mental health problems.,We should legalize cannabis,test,1,0.955854239,-1,1
smoking cannabis increases the risk of depression for young people who have a genetic vulnerability to the mental illness,We should legalize cannabis,test,0.602973323,0.139547942,-1,1
Smoking marijuana is no worse than drinking booze and that goes on everywhere.,We should legalize cannabis,test,0.804949554,0.438649812,1,1
"smoking weed is not as safe as many make it seem, and legalizing it will only endorse this unhealthy practice.",We should legalize cannabis,test,0.898582802,0.989438478,-1,1
so many people already use cannabis that the only real difference legalizing would make would be that the profits could be taxed.,We should legalize cannabis,test,1,0.931980597,1,1
so many people could use cannabis for pain relief that to legalize it is the only sensible option.,We should legalize cannabis,test,1,0.924743225,1,1
some states have already done it so we might as well.,We should legalize cannabis,test,0.59111832,0.122041983,1,1
"Stronger forms of cannabis, such as skunk, have been shown to cause or exacerbate mental issues and severe mental health problems in some people.",We should legalize cannabis,test,0.851055778,0.85771839,-1,1
studies show that drivers under the influence of marijuana tend to be more careful and take fewer risks than drunk drivers,We should legalize cannabis,test,0.370147376,0.010013343,1,1
studies show that students who use cannabis perform worse in school,We should legalize cannabis,test,0.546926163,0.21974344,-1,1
tax dollars are wasted on prosecuting possessors of cannabis when abuse of alcohol can actually cause more health problems than the cannabis.,We should legalize cannabis,test,0.858797509,0.504421323,1,0.90232803
taxes collected from the legal sale of marijuana could support important public programs,We should legalize cannabis,test,1,0.984592499,1,1
the beer and pharmaceutical companies would not like it,We should legalize cannabis,test,0.089717121,3.28E-06,-1,0.91580149
the British Medical Association has conducted a research which shows that nicotine is far more addictive than cannabis,We should legalize cannabis,test,0.78228094,0.55373939,1,0.664196172
"the dangers of cannabis are minimum.   the benefits are great.   it can help with pain, anxiety, depression and best of all it makes people feel good.   the income to states would be enormous too.",We should legalize cannabis,test,1,0.869794892,1,0.891702687
"the entire chain of suppliers, including growers, distributors, and retailers will be regulated while marijuana  is legalized and business is taken away from the drug cartels",We should legalize cannabis,test,1,0.903254651,1,1
The excessive number of marijuana arrests each year place an undue burden on our judicial system. Legalizing marijuana would ease this burden.,We should legalize cannabis,test,1,0.903254651,1,1
the general use of cannabis will be abused and become a risk to the public,We should legalize cannabis,test,1,0.80033181,-1,1
the healing properties of cannabis are necessary to alleviate the health of many patients who do not have access to it due to its restriction,We should legalize cannabis,test,0.853669782,0.704252887,1,0.906831648
The Highway Loss Data Institute found an increased collision and crash risk in legal marijuana states,We should legalize cannabis,test,0.834367889,0.920375318,-1,1
"The increased tax revenue gained from legalizing marijuana can be used to fund public projects, fix roads, improve schools, etc.",We should legalize cannabis,test,0.908544862,0.922914982,1,1
"the legalization of cannabis directly impacts the illegal traffic by taking away the profitability of the business, and would allow alleviating the suffering of many people who get relief using it as medicine.",We should legalize cannabis,test,0.627379368,0.294613428,1,1
the legalization of cannabis will give the message that it is okay to do drugs,We should legalize cannabis,test,0.696726034,0.406253377,-1,0.697950185
the medical benefits of cannabis use has been documented in recent years. it's highly beneficial to those with epilepsy and cancer patients. access needs to expand to those who need it.,We should legalize cannabis,test,1,0.983316876,1,1
the medicinal effects of cannabis are very necessary for our society,We should legalize cannabis,test,0.640090436,0.204316355,1,1
the medicinal effects of cannabis have brought many benefits to our society in recent years. that is why i believe that its legalization should be allowed in our society.,We should legalize cannabis,test,0.978842967,0.844445954,1,1
"the medicinal use of cannabis is so widespread, accepted and proven that its legalization is unstoppable",We should legalize cannabis,test,0.905996423,0.917229366,1,0.893955842
the pharmaceutical companies would lose money and also the private prison industry,We should legalize cannabis,test,0.514831465,0.029506783,-1,0.658458951
"the problem with legalizing cannabis, a soft drug, is that it can lead often to addiction and as your body becomes more use to it you need more to get same effects. some move on to use harder harmful drugs",We should legalize cannabis,test,0.883468578,0.571160523,-1,1
the use of cannabis by young adults leads to mental health issues,We should legalize cannabis,test,1,0.984925442,-1,1
the use of cannabis can lead to the use of harder drugs.,We should legalize cannabis,test,0.714386018,0.478529715,-1,1
the use of cannabis can provide a route into more harmful drug use.,We should legalize cannabis,test,0.779067445,0.833405082,-1,1
the use of cannabis does not stop there.  many go for the next high of hashish.  then on to other drugs.  cannabis should not be allowed to stop this progressions.,We should legalize cannabis,test,0.924828329,0.929028912,-1,1
"the use of cannabis should be eliminated due to its illegal and undue use, doses that harm mental health",We should legalize cannabis,test,0.665827518,0.501118972,-1,1
The use of marijuana is immoral and should not be legalized.,We should legalize cannabis,test,0.363168402,0.008272636,-1,1
the use without measure of cannabis harms the mental health of the people therefore it is necessary that the intention to legalize cannabis be eliminated,We should legalize cannabis,test,0.57327778,0.061754027,-1,1
the war on drugs has not stopped people from using cannabis.,We should legalize cannabis,test,0.526279511,0.226918012,1,0.668583841
"the war on drugs is a failure, especially when it comes to cannabis. it's a waste of money to continue to keep the fight up against cannabis.",We should legalize cannabis,test,0.946228964,0.891225248,1,1
